"","X","order","family","species","common_name","Neritic_Oceanic","Bentho_Pelagic","feeding_strategy","trophic_level","IUCN","fisheries_interest","G.GI","method","N","n_fish_ingested","FO","Region"
"158",158,"Osmeriformes","Osmeridae","Osmerus eperlanus","European smelt","N","BP","P","3.5","LC","Y","GI","2",10,"2",20,"ATL N"
"159",159,"Perciformes","Acanthuridae","Acanthurus coeruleus","Blue tang surgeonfish","N","B","G","2","LC","Y","G ","2",1,"0",0,"ATL S"
"160",160,"Perciformes","Acanthuridae","Acanthurus gahhm","Black surgeonfish","N","B","O","2.8","LC","Y","GI ","3",10,"1",10,"IND"
"161",161,"Perciformes","Acanthuridae","Acanthurus lineatus","Lined surgeonfish","N","B","G","2","LC","Y","GI","3",24,"4",16.67,"PAC S"
"162",162,"Perciformes","Acanthuridae","Acanthurus sohal","Sohal surgeonfish","N","B","G","2","LC","Y","GI","3",3,"0",0,"IND"
"163",163,"Perciformes","Acanthuridae","Ctenochaetus striatus","Striated surgeonfish","N","B","G","2","LC","Y","GI","3",27,"7",25.93,"PAC S"
"164",164,"Perciformes","Acanthuridae","Ctenochaetus striatus","Striated surgeonfish","N","B","G","2","LC","Y","GI","3",29,"6",20.69,"PAC S"
"165",165,"Perciformes","Acanthuridae","Naso brachycentron","Humpback unicornfish","N","B","G","2.7","LC","Y","GI","1",1,"0",0,"PAC S"
"166",166,"Perciformes","Acanthuridae","Naso lituratus","Orangespine unicornfish","N","B","G","2.3","LC","Y","GI","3",28,"4",14.29,"PAC S"
"167",167,"Perciformes","Acanthuridae","Naso unicornis","Bluespine unicornfish","N","B","G","2.2","LC","Y","GI","3",30,"6",20,"PAC S"
"168",168,"Perciformes","Acanthuridae","Naso unicornis","Bluespine unicornfish","N","B","G","2.2","LC","Y","GI","3",2,"0",0,"IND"
"169",169,"Perciformes","Ammodytidae","Ammodytes personatus","Pacific sandlance","N","B","P","3.1","NE","Y","GI","2",734,"11",1.5,"PAC N"
"170",170,"Perciformes","Arripidae","Arripis sp.","Australian salmon","N","B","P","3.1","NE","n/a","G, GI","2",9,"0",0,"PAC S"
"171",171,"Perciformes","Blennidae","Scartichthys viridis","n/a","N","B","G","2.2","LC","N","GI","3",19,"19",100,"PAC S"
"172",172,"Perciformes","Bramidae","Brama brama","Atlantic pomfret","O","P","PP","4.1","NE","Y","G","2",3,"1",33.33,"ATL N"
