"","order","family","species","common_name","Neritic_Oceanic","Bentho_Pelagic","feeding_strategy","trophic_level","IUCN","fisheries_interest","G.GI","method","N","n_fish_ingested","FO","binary"
"137","Perciformes","Carangidae","Trachurus picturatus","Blue jack mackerel","N","BP","P",3.3,"NE","Y","G","2","29","1",3.45,1
"138","Perciformes","Carangidae","Trachurus trachurus","Atlantic horse mackerel","N-O","P","BP",3.7,"NE","Y","GI","2","56","16",28.57,1
"139","Perciformes","Centrolophidae","Psenopsis anomala","Pacific rudderfish","N","BP","P",4,"LC","Y","GI","3","18","18",100,1
"140","Perciformes","Centrolophidae","Schedophilus ovalis","Imperial blackfish","O","BP","P",3.5,"NE","Y","GI","2","3","0",0,0
"141","Perciformes","Centrolophidae","Schedophilus velaini","Violet warehou","O","P","PP",4.2,"LC","Y","GI","3","14","8",57.14,1
"142","Perciformes","Cepolidae","Cepola macrophthalma","Red bandfish","N",NA,"P",3.1,"NE","Y","GI","2","62","20",32.26,1
"143","Perciformes","Chaetodontidae","Chaetodon austriacus","Blacktail butterflyfish","N","B","G",3.3,"LC","N","GI ","3","10","1",10,1
"144","Perciformes","Cheilodactylidae","Nemadactylus macropterus","Tarakihi","N",NA,"BP",3.4,"NE","Y","GI","3","23","2",8.7,1
"145","Perciformes","Coryphaenidae","Coryphaena hippurus","Common dolphinfish","N-O","P","PP",4.4,"LC","Y","GI","3","10","2",20,1
"146","Perciformes","Eleotridae","Oxyeleotris marmorata","Marble goby","N","B","BP",3.9,"LC","Y","GI","3","18","18",100,1
"147","Perciformes","Ephippidae","Chaetodipterus faber","Atlantic spadefish","N",NA,"BP",NA,"LC","Y","G ","2","103","48",46.6,1
"148","Perciformes","Epigonidae","Epigonus telescopus","Black cardinal fish","O","BP","BP",3.6,"NE","Y","GI ","2","4","0",0,0
"149","Perciformes","Gempylidae","Gempylus serpens","Snake mackarel","O","P","PP",4.4,"NE","Y","G","1","104","1",0.96,1
"150","Perciformes","Gempylidae","Lepidocybium flavobrunneum","Escolar","O","P","PP",4.3,"NE","Y","G","1","45","0",0,0
"151","Perciformes","Gempylidae","Thyrsites atun","Snoek","N-O","BP","PP",3.6,"NE","Y","GI","3","28","8",28.57,1
