order,family,species,common_name,habitat,feeding_strategy,trophic_level,IUCN,fisheries_interest,G/GI,method,N,n_fish_ingested,FO
Perciformes,Carangidae,Seriola lalandi ,Yellowtail kingfish,"N-O, BP",PP,4.2,NE,Y,GI,2,19,2,10.53
Perciformes,Carangidae,,,,,,,,GI,3,15,3,20.00
Perciformes,Carangidae,,,,,,,,GI,1,10,0,0.00
Perciformes,Carangidae,Trachinotus ovatus,Pompano,"N, P",BP,3.7,LC,Y,G,2,115,28,24.35
Perciformes,Carangidae,Trachurus declivis,Greenback horse mackerel,"N-O, BP",P,3.9,NE,Y,"G, GI",2,23,0,0.00
Perciformes,Carangidae,Trachurus mediterraneus,Med Horse mackerel,"O, P",PP,3.8,LC,Y,GI,3,98,67,68.37
Perciformes,Carangidae,,,,,,,,GI,2,2,0,0.00
Perciformes,Carangidae,Trachurus novaezelandiae,Yellowtail horse mackerel,"O, P",P,3.2,NE,Y,GI,3,31,1,3.23
Perciformes,Carangidae,Trachurus picturatus,Blue jack mackerel,"N, BP",P,3.3,NE,Y,G,2,29,1,3.45
Perciformes,Carangidae,,,,,,,,GI ,2,9,0,0.00
Perciformes,Carangidae,Trachurus trachurus,Atlantic horse mackerel,"N-O, P",BP,3.7,NE,Y,GI,2,56,16,28.57
Perciformes,Carangidae,,,,,,,,GI,3,100,1,1.00
Perciformes,Carangidae,,,,,,,,G,2,44,3,6.82
